@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
93,84,38,23,99,0.188525,0.688525,0.785047,0.688525,0.214953,0.733624,0.438525,1.570093,0.310414
94,84,38,21,101,0.172131,0.688525,0.8,0.688525,0.2,0.740088,0.430328,1.6,0.310613
95,84,38,20,102,0.163934,0.688525,0.807692,0.688525,0.192308,0.743363,0.42623,1.615385,0.310812
96,84,38,19,103,0.155738,0.688525,0.815534,0.688525,0.184466,0.746667,0.422131,1.631068,0.31087
97,83,39,19,103,0.155738,0.680328,0.813725,0.680328,0.186275,0.741071,0.418033,1.627451,0.31229
98,82,40,19,103,0.155738,0.672131,0.811881,0.672131,0.188119,0.735426,0.413934,1.623762,0.316441
99,82,40,18,104,0.147541,0.672131,0.82,0.672131,0.18,0.738739,0.409836,1.64,0.325341
100,81,41,18,104,0.147541,0.663934,0.818182,0.663934,0.181818,0.733032,0.405738,1.636364,0.326548
101,80,42,18,104,0.147541,0.655738,0.816327,0.655738,0.183673,0.727273,0.401639,1.632653,0.332798
102,80,42,17,105,0.139344,0.655738,0.824742,0.655738,0.175258,0.730594,0.397541,1.649485,0.386361
103,80,42,16,106,0.131148,0.655738,0.833333,0.655738,0.166667,0.733945,0.393443,1.666667,0.39949
104,79,43,16,106,0.131148,0.647541,0.831579,0.647541,0.168421,0.728111,0.389344,1.663158,0.410484
105,78,44,16,106,0.131148,0.639344,0.829787,0.639344,0.170213,0.722222,0.385246,1.659574,0.440719
106,78,44,15,107,0.122951,0.639344,0.83871,0.639344,0.16129,0.725581,0.381148,1.677419,0.490589
107,77,45,15,107,0.122951,0.631148,0.836957,0.631148,0.163043,0.719626,0.377049,1.673913,0.502549
108,76,46,15,107,0.122951,0.622951,0.835165,0.622951,0.164835,0.713615,0.372951,1.67033,0.530534
109,75,47,15,107,0.122951,0.614754,0.833333,0.614754,0.166667,0.707547,0.368852,1.666667,0.591952
110,74,48,15,107,0.122951,0.606557,0.831461,0.606557,0.168539,0.701422,0.364754,1.662921,0.598161
111,74,48,14,108,0.114754,0.606557,0.840909,0.606557,0.159091,0.704762,0.360656,1.681818,0.599288
112,74,48,13,109,0.106557,0.606557,0.850575,0.606557,0.149425,0.708134,0.356557,1.701149,0.603637
113,73,49,13,109,0.106557,0.598361,0.848837,0.598361,0.151163,0.701923,0.352459,1.697674,0.605212
114,72,50,13,109,0.106557,0.590164,0.847059,0.590164,0.152941,0.695652,0.348361,1.694118,0.613313
115,71,51,13,109,0.106557,0.581967,0.845238,0.581967,0.154762,0.68932,0.344262,1.690476,0.63025
116,70,52,13,109,0.106557,0.57377,0.843373,0.57377,0.156627,0.682927,0.340164,1.686747,0.640893
117,69,53,13,109,0.106557,0.565574,0.841463,0.565574,0.158537,0.676471,0.336066,1.682927,0.654663
118,68,54,13,109,0.106557,0.557377,0.839506,0.557377,0.160494,0.669951,0.331967,1.679012,0.664835
119,67,55,13,109,0.106557,0.54918,0.8375,0.54918,0.1625,0.663366,0.327869,1.675,0.667538
120,66,56,13,109,0.106557,0.540984,0.835443,0.540984,0.164557,0.656716,0.32377,1.670886,0.67734
121,66,56,12,110,0.098361,0.540984,0.846154,0.540984,0.153846,0.66,0.319672,1.692308,0.705167
122,65,57,12,110,0.098361,0.532787,0.844156,0.532787,0.155844,0.653266,0.315574,1.688312,0.708699
123,65,57,11,111,0.090164,0.532787,0.855263,0.532787,0.144737,0.656566,0.311475,1.710526,0.730636
124,64,58,11,111,0.090164,0.52459,0.853333,0.52459,0.146667,0.649746,0.307377,1.706667,0.741016
125,63,59,11,111,0.090164,0.516393,0.851351,0.516393,0.148649,0.642857,0.303279,1.702703,0.741942
126,62,60,11,111,0.090164,0.508197,0.849315,0.508197,0.150685,0.635897,0.29918,1.69863,0.743226
127,61,61,11,111,0.090164,0.5,0.847222,0.5,0.152778,0.628866,0.295082,1.694444,0.743571
128,60,62,11,111,0.090164,0.491803,0.84507,0.491803,0.15493,0.621762,0.290984,1.690141,0.759321
129,59,63,11,111,0.090164,0.483607,0.842857,0.483607,0.157143,0.614583,0.286885,1.685714,0.767215
130,58,64,11,111,0.090164,0.47541,0.84058,0.47541,0.15942,0.60733,0.282787,1.681159,0.767793
131,58,64,10,112,0.081967,0.47541,0.852941,0.47541,0.147059,0.610526,0.278689,1.705882,0.774166
132,57,65,10,112,0.081967,0.467213,0.850746,0.467213,0.149254,0.603175,0.27459,1.701493,0.777593
133,56,66,10,112,0.081967,0.459016,0.848485,0.459016,0.151515,0.595745,0.270492,1.69697,0.779879
134,55,67,10,112,0.081967,0.45082,0.846154,0.45082,0.153846,0.588235,0.266393,1.692308,0.781335
135,54,68,10,112,0.081967,0.442623,0.84375,0.442623,0.15625,0.580645,0.262295,1.6875,0.782672
136,53,69,10,112,0.081967,0.434426,0.84127,0.434426,0.15873,0.572973,0.258197,1.68254,0.803722
137,53,69,9,113,0.07377,0.434426,0.854839,0.434426,0.145161,0.576087,0.254098,1.709677,0.809676
138,53,69,8,114,0.065574,0.434426,0.868852,0.434426,0.131148,0.579235,0.25,1.737705,0.816544
139,52,70,8,114,0.065574,0.42623,0.866667,0.42623,0.133333,0.571429,0.245902,1.733333,0.828334
140,51,71,8,114,0.065574,0.418033,0.864407,0.418033,0.135593,0.563536,0.241803,1.728814,0.833041
141,50,72,8,114,0.065574,0.409836,0.862069,0.409836,0.137931,0.555556,0.237705,1.724138,0.841558
142,49,73,8,114,0.065574,0.401639,0.859649,0.401639,0.140351,0.547486,0.233607,1.719298,0.846333
143,48,74,8,114,0.065574,0.393443,0.857143,0.393443,0.142857,0.539326,0.229508,1.714286,0.852333
144,48,74,7,115,0.057377,0.393443,0.872727,0.393443,0.127273,0.542373,0.22541,1.745455,0.853373
145,47,75,7,115,0.057377,0.385246,0.87037,0.385246,0.12963,0.534091,0.221311,1.740741,0.854283
146,46,76,7,115,0.057377,0.377049,0.867925,0.377049,0.132075,0.525714,0.217213,1.735849,0.856613
147,45,77,7,115,0.057377,0.368852,0.865385,0.368852,0.134615,0.517241,0.213115,1.730769,0.861012
148,45,77,6,116,0.04918,0.368852,0.882353,0.368852,0.117647,0.520231,0.209016,1.764706,0.864761
149,44,78,6,116,0.04918,0.360656,0.88,0.360656,0.12,0.511628,0.204918,1.76,0.86665
150,43,79,6,116,0.04918,0.352459,0.877551,0.352459,0.122449,0.502924,0.20082,1.755102,0.870301
151,42,80,6,116,0.04918,0.344262,0.875,0.344262,0.125,0.494118,0.196721,1.75,0.87069
152,41,81,6,116,0.04918,0.336066,0.87234,0.336066,0.12766,0.485207,0.192623,1.744681,0.875589
153,40,82,6,116,0.04918,0.327869,0.869565,0.327869,0.130435,0.47619,0.188525,1.73913,0.875737
154,39,83,6,116,0.04918,0.319672,0.866667,0.319672,0.133333,0.467066,0.184426,1.733333,0.879253
155,39,83,5,117,0.040984,0.319672,0.886364,0.319672,0.113636,0.46988,0.180328,1.772727,0.888735
