@relation defacto

@attribute name_feature string
@attribute avg_page_rank_confirming numeric
@attribute avg_page_rank_non_confirming numeric
@attribute total_hit_count numeric
@attribute avg_topic_coverage_confirming numeric
@attribute avg_topic_coverage_non_confirming numeric
@attribute avg_topic_majority_web_confirming numeric
@attribute avg_topic_majority_web_non_confirming numeric
@attribute avg_topic_majority_search_confirming numeric
@attribute avg_topic_majority_search_non_confirming numeric
@attribute number_of_confirming_facts numeric
@attribute number_of_confirming_sites numeric
@attribute total_positives_evidence_score numeric
@attribute total_negatives_evidence_score numeric
@attribute domain_range_check numeric
@attribute class {true,false}

@data
true/birth_place_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
true/birth_place_6.ttl,0,0.152318,235256,0,0.132468,0,4.298701,0,4.012987,60,0,0,0.322719,1,true
true/branch_0.ttl,0,0.180328,50524,0,0.663352,0,63.484375,0,13.375,26,0,0,0.002959,1,true
true/branch_3.ttl,0,0,3,0,0,0,0,0,0,0,0,0,0,1,true
true/city_0.ttl,0,0.235294,23,0,0.254902,0,5.882353,0,0.588235,8,0,0,0.001217,1,true
true/city_1.ttl,0,0.142857,399,0,0.014286,0,0,0,0,0,0,0,0,1,true
true/city_9.ttl,0,0,35,0,0.107843,0,0.055556,0,0,0,0,0,0,1,true
true/class_8.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,true
true/computing_platform_0.ttl,0,0,62513,0,0.266444,0,18.072464,0,3.42029,8,0,0,0.000005,1,true
true/computing_platform_1.ttl,0,0.208333,89783,0,0.321759,0,12.097222,0,5.611111,25,0,0,0.011551,1,true
true/computing_platform_2.ttl,0,0.138889,881,0,0.261111,0,13.555556,0,1.833333,0,0,0,0,1,true
true/computing_platform_8.ttl,0,0,30,0,0,0,0,0,0,0,0,0,0,1,true
true/country_3.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,1,true
true/country_9.ttl,0,0,22,0,0.589844,0,16.6875,0,2.875,0,0,0,0,1,true
true/death_place_1.ttl,0,4,1,0,0.4,0,0,0,0,1,0,0,0,1,true
true/death_place_8.ttl,0,0.047619,227762,0,0.506611,0,98.789063,0,14.953125,10,0,0,0.000188,1,true
true/department_3.ttl,0,0.142857,40,0,0.5,0,16.6875,0,5.125,8,0,0,0,1,true
true/department_4.ttl,0,0.102941,81469,0,0.696079,0,23.161765,0,13.117647,29,0,0,0.095874,1,true
true/department_9.ttl,0,0.111111,43,0,0.753472,0,21.833333,0,3,1,0,0,0,1,true
true/director_8.ttl,0,0.666667,13,0,0.354167,0,2.666667,0,1,1,0,0,0,1,true
true/distributor_0.ttl,0,0.073171,472,0,0.841463,0,43.853659,0,19.95122,12,0,0,0,1,true
true/distributor_1.ttl,0,0.054945,58922,0,0.592983,0,24.905263,0,16.610526,15,0,0,0,1,true
true/distributor_4.ttl,0,0,31339,0,0.032258,0,0,0,0.032258,12,0,0,0.096706,1,true
true/district_7.ttl,0,0,49,0,0.421429,0,42.771429,0,17.428571,4,0,0,0,1,true
true/district_8.ttl,0,0,6,0,0,0,0,0,0,0,0,0,0,1,true
true/family_0.ttl,0,0.225806,698,0,0.410138,0,22.612903,0,7.419355,6,0,0,0.048552,1,true
true/family_3.ttl,0,0.393939,677,0,0.444444,0,10.484848,0,3.454545,0,0,0,0,1,true
true/family_4.ttl,0,0.173913,424,0,0.537084,0,7.478261,0,3.304348,9,0,0,0,1,true
true/format_2.ttl,0,0,323,0,0,0,0,0,0,4,0,0,0,1,true
true/former_team_4.ttl,0,0.181818,24,0,0.758333,0,24.75,0,2.333333,6,0,0,0,1,true
true/former_team_5.ttl,0,0.094203,59717,0,0.703929,0,198.345324,0,28.201439,20,0,0,0,1,true
true/former_team_6.ttl,0,0.159664,142296,0,0.649727,0,157.106557,0,18.852459,198,0,0,0.033602,1,true
true/former_team_7.ttl,0,0.011364,7935,0,0.261364,0,3.636364,0,5.522727,2,0,0,0.00119,1,true
true/former_team_9.ttl,0,0.307692,28,0,0,0,0,0,0,0,0,0,0,1,true
true/genre_2.ttl,0,0,7,0,0,0,0,0,0,0,0,0,0,1,true
true/genus_0.ttl,0,0.75,20,0,0.257576,0,2.25,0,2,8,0,0,0.002409,1,true
true/genus_1.ttl,0,0.5,12,0,0.654762,0,9,0,1,6,0,0,0.049447,1,true
true/genus_5.ttl,0,0.470588,22,0,0.696833,0,12.823529,0,3.529412,25,0,0,0.210088,1,true
true/ground_1.ttl,0,0.142857,9,0,0,0,0,0,0,6,0,0,0,1,true
true/industry_2.ttl,0,0.296296,568,0,0,0,0,0,0,34,0,0,0.001235,1,true
true/industry_9.ttl,0,0.204819,659455,0,0.504762,0,188.857143,0,76.428571,272,0,0,0.001589,1,true
true/is_part_of_1.ttl,0,0.333333,46,0,0.75,0,42.111111,0,7.166667,173,0,0,0.3652,0,true
true/is_part_of_6.ttl,0,0,2,0,0,0,0,0,0,10,0,0,0.006234,0,true
true/kingdom_2.ttl,0,0,50,0,0,0,0,0,0,0,0,0,0,1,true
true/language_2.ttl,0,0.12766,278830,0,0.777482,0,131.691489,0,36.585106,115,0,0,0,1,true
true/language_6.ttl,0,0,415,0,0.70936,0,55.586207,0,15.241379,0,0,0,0,1,true
true/language_7.ttl,0,0.056604,27324,0,0.594907,0,73.62963,0,19.925926,4,0,0,0.001189,1,true
true/location_3.ttl,0,0.18254,649858,0,0.437795,0,77.417323,0,6.913386,0,0,0,0,1,true
true/location_6.ttl,0,0,42,0,0.625,0,10.9,0,4.8,2,0,0,0,1,true
true/location_7.ttl,0,0.292683,132080,0,0.645408,0,50.035714,0,12.857143,115,0,0,0.005913,1,true
true/location_9.ttl,0,0.5,153431,0,0.598705,0,35.640777,0,46.776699,167,0,0,0.577303,1,true
true/music_composer_2.ttl,0,0.470588,54825,0,0.411111,0,14.569444,0,31.472222,78,0,0,0.004289,1,true
true/music_composer_6.ttl,0,0,19,0,0.560606,0,11.583333,0,1.666667,3,0,0,0.000203,1,true
true/music_composer_8.ttl,0,0,21,0,0.166667,0,0.583333,0,4.666667,2,0,0,0,1,true
true/music_composer_9.ttl,0,0.116279,690,0,0.496753,0,21.340909,0,9.727273,12,0,0,0.000513,1,true
true/musical_artist_2.ttl,0,0.214286,173065,0,0.526316,0,115.649123,0,14.280702,162,0,0,0.03134,0.5,true
true/musical_band_1.ttl,0,0.226667,77379,0,0.26461,0,57.363636,0,56.623377,104,0,0,0.030494,1,true
true/musical_band_3.ttl,0,0.129032,207820,0,0.776191,0,139.396825,0,55.15873,136,0,0,0.100379,1,true
true/musical_band_9.ttl,0,0.277027,500777,0,0.537222,0,125.593333,0,19.373333,139,0,0,0.216999,1,true
true/nationality_6.ttl,0,0,36175,0,0.591797,0,85.953125,0,18.375,4,0,0,0,1,true
true/nationality_7.ttl,0,0,25,0,0.548476,0,15.315789,0,2.105263,10,0,0,0,1,true
true/order_0.ttl,0,0,21,0,0.5,0,3,0,1,1,0,0,0,1,true
true/order_2.ttl,0,3.5,3,0,0.571429,0,1.5,0,1,2,0,0,0,1,true
true/owner_2.ttl,0,0.341463,244,0,0.799458,0,55.341463,0,9.414634,72,0,0,0.431089,1,true
true/party_0.ttl,0,0,16,0,0,0,0,0,0,0,0,0,0,1,true
true/party_1.ttl,0,0,22,0,0,0,0,0,0,0,0,0,0,1,true
