@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
166,204,24,156,143,0.521739,0.894737,0.566667,0.894737,0.433333,0.693878,0.683112,1.309795,0
167,204,24,155,144,0.518395,0.894737,0.568245,0.894737,0.431755,0.69506,0.681214,1.313444,0
168,204,24,154,145,0.51505,0.894737,0.569832,0.894737,0.430168,0.696246,0.679317,1.317113,0
169,204,24,153,146,0.511706,0.894737,0.571429,0.894737,0.428571,0.697436,0.677419,1.320802,0
170,204,24,152,147,0.508361,0.894737,0.573034,0.894737,0.426966,0.69863,0.675522,1.324512,0
171,203,25,152,147,0.508361,0.890351,0.571831,0.890351,0.428169,0.696398,0.673624,1.321732,0
172,202,26,152,147,0.508361,0.885965,0.570621,0.885965,0.429379,0.694158,0.671727,1.318936,0
173,201,27,152,147,0.508361,0.881579,0.569405,0.881579,0.430595,0.69191,0.669829,1.316125,0
174,201,27,151,148,0.505017,0.881579,0.571023,0.881579,0.428977,0.693103,0.667932,1.319864,0
175,201,27,150,149,0.501672,0.881579,0.57265,0.881579,0.42735,0.694301,0.666034,1.323624,0
176,201,27,149,150,0.498328,0.881579,0.574286,0.881579,0.425714,0.695502,0.664137,1.327406,0
177,201,27,148,151,0.494983,0.881579,0.575931,0.881579,0.424069,0.696707,0.662239,1.331209,0
178,201,27,147,152,0.491639,0.881579,0.577586,0.881579,0.422414,0.697917,0.660342,1.335035,0
179,201,27,146,153,0.488294,0.881579,0.579251,0.881579,0.420749,0.69913,0.658444,1.338882,0
180,201,27,145,154,0.48495,0.881579,0.580925,0.881579,0.419075,0.700348,0.656546,1.342752,0
181,201,27,144,155,0.481605,0.881579,0.582609,0.881579,0.417391,0.701571,0.654649,1.346644,0
182,200,28,144,155,0.481605,0.877193,0.581395,0.877193,0.418605,0.699301,0.652751,1.343839,0
183,200,28,143,156,0.478261,0.877193,0.58309,0.877193,0.41691,0.700525,0.650854,1.347757,0
184,200,28,142,157,0.474916,0.877193,0.584795,0.877193,0.415205,0.701754,0.648956,1.351698,0
185,200,28,141,158,0.471572,0.877193,0.58651,0.877193,0.41349,0.702988,0.647059,1.355662,0
186,200,28,140,159,0.468227,0.877193,0.588235,0.877193,0.411765,0.704225,0.645161,1.359649,0
187,199,29,140,159,0.468227,0.872807,0.587021,0.872807,0.412979,0.70194,0.643264,1.356842,0
188,199,29,139,160,0.464883,0.872807,0.588757,0.872807,0.411243,0.70318,0.641366,1.360856,0
189,199,29,138,161,0.461538,0.872807,0.590504,0.872807,0.409496,0.704425,0.639469,1.364894,0
190,199,29,137,162,0.458194,0.872807,0.592262,0.872807,0.407738,0.705674,0.637571,1.368956,0
191,199,29,136,163,0.454849,0.872807,0.59403,0.872807,0.40597,0.706927,0.635674,1.373043,0
192,199,29,135,164,0.451505,0.872807,0.595808,0.872807,0.404192,0.708185,0.633776,1.377154,0
193,199,29,134,165,0.448161,0.872807,0.597598,0.872807,0.402402,0.709447,0.631879,1.381289,0
194,199,29,133,166,0.444816,0.872807,0.599398,0.872807,0.400602,0.710714,0.629981,1.38545,0
195,199,29,132,167,0.441472,0.872807,0.601208,0.872807,0.398792,0.711986,0.628083,1.389635,0
196,199,29,131,168,0.438127,0.872807,0.60303,0.872807,0.39697,0.713262,0.626186,1.393846,0
197,198,30,131,168,0.438127,0.868421,0.601824,0.868421,0.398176,0.710952,0.624288,1.391057,0
198,198,30,130,169,0.434783,0.868421,0.603659,0.868421,0.396341,0.71223,0.622391,1.395298,0
199,197,31,130,169,0.434783,0.864035,0.602446,0.864035,0.397554,0.70991,0.620493,1.392497,0
200,196,32,130,169,0.434783,0.859649,0.601227,0.859649,0.398773,0.707581,0.618596,1.389678,0
201,196,32,129,170,0.431438,0.859649,0.603077,0.859649,0.396923,0.708861,0.616698,1.393954,0
202,196,32,128,171,0.428094,0.859649,0.604938,0.859649,0.395062,0.710145,0.614801,1.398256,0
203,195,33,128,171,0.428094,0.855263,0.603715,0.855263,0.396285,0.707804,0.612903,1.395429,0
204,195,33,127,172,0.424749,0.855263,0.60559,0.855263,0.39441,0.709091,0.611006,1.399763,0
205,195,33,126,173,0.421405,0.855263,0.607477,0.855263,0.392523,0.710383,0.609108,1.404124,0
206,195,33,125,174,0.41806,0.855263,0.609375,0.855263,0.390625,0.711679,0.607211,1.408512,0
207,195,33,124,175,0.414716,0.855263,0.611285,0.855263,0.388715,0.71298,0.605313,1.412927,0
208,195,33,123,176,0.411371,0.855263,0.613208,0.855263,0.386792,0.714286,0.603416,1.41737,0
209,194,34,123,176,0.411371,0.850877,0.611987,0.850877,0.388013,0.711927,0.601518,1.41455,0
210,194,34,122,177,0.408027,0.850877,0.613924,0.850877,0.386076,0.713235,0.59962,1.419026,0
211,193,35,122,177,0.408027,0.846491,0.612698,0.846491,0.387302,0.710866,0.597723,1.416193,0
212,193,35,121,178,0.404682,0.846491,0.61465,0.846491,0.38535,0.712177,0.595825,1.420703,0
213,193,35,120,179,0.401338,0.846491,0.616613,0.846491,0.383387,0.713494,0.593928,1.425242,0
214,193,35,119,180,0.397993,0.846491,0.61859,0.846491,0.38141,0.714815,0.59203,1.429811,0
215,193,35,118,181,0.394649,0.846491,0.620579,0.846491,0.379421,0.716141,0.590133,1.434408,0
216,193,35,117,182,0.391304,0.846491,0.622581,0.846491,0.377419,0.717472,0.588235,1.439035,0
217,193,35,116,183,0.38796,0.846491,0.624595,0.846491,0.375405,0.718808,0.586338,1.443692,0
218,193,35,115,184,0.384615,0.846491,0.626623,0.846491,0.373377,0.720149,0.58444,1.448379,0
219,193,35,114,185,0.381271,0.846491,0.628664,0.846491,0.371336,0.721495,0.582543,1.453097,0
220,193,35,113,186,0.377926,0.846491,0.630719,0.846491,0.369281,0.722846,0.580645,1.457846,0
221,192,36,113,186,0.377926,0.842105,0.629508,0.842105,0.370492,0.72045,0.578748,1.455047,0
222,192,36,112,187,0.374582,0.842105,0.631579,0.842105,0.368421,0.721805,0.57685,1.459834,0
223,191,37,112,187,0.374582,0.837719,0.630363,0.837719,0.369637,0.719397,0.574953,1.457023,0
224,191,37,111,188,0.371237,0.837719,0.63245,0.837719,0.36755,0.720755,0.573055,1.461848,0
225,191,37,110,189,0.367893,0.837719,0.634551,0.837719,0.365449,0.722117,0.571157,1.466705,0
226,191,37,109,190,0.364548,0.837719,0.636667,0.837719,0.363333,0.723485,0.56926,1.471594,0
227,191,37,108,191,0.361204,0.837719,0.638796,0.837719,0.361204,0.724858,0.567362,1.476515,0
228,191,37,107,192,0.35786,0.837719,0.64094,0.837719,0.35906,0.726236,0.565465,1.48147,0
229,191,37,106,193,0.354515,0.837719,0.643098,0.837719,0.356902,0.727619,0.563567,1.486458,0
230,191,37,105,194,0.351171,0.837719,0.64527,0.837719,0.35473,0.729008,0.56167,1.49148,0
231,190,38,105,194,0.351171,0.833333,0.644068,0.833333,0.355932,0.726577,0.559772,1.488701,0
232,190,38,104,195,0.347826,0.833333,0.646259,0.833333,0.353741,0.727969,0.557875,1.493764,0
233,190,38,103,196,0.344482,0.833333,0.648464,0.833333,0.351536,0.729367,0.555977,1.498862,0
234,190,38,102,197,0.341137,0.833333,0.650685,0.833333,0.349315,0.730769,0.55408,1.503995,0
235,190,38,101,198,0.337793,0.833333,0.652921,0.833333,0.347079,0.732177,0.552182,1.509164,0
236,190,38,100,199,0.334448,0.833333,0.655172,0.833333,0.344828,0.733591,0.550285,1.514368,0.000001
237,190,38,99,200,0.331104,0.833333,0.657439,0.833333,0.342561,0.73501,0.548387,1.519608,0.000001
238,190,38,98,201,0.327759,0.833333,0.659722,0.833333,0.340278,0.736434,0.54649,1.524884,0.000001
239,190,38,97,202,0.324415,0.833333,0.662021,0.833333,0.337979,0.737864,0.544592,1.530197,0.000001
240,189,39,97,202,0.324415,0.828947,0.660839,0.828947,0.339161,0.735409,0.542694,1.527466,0.000001
241,188,40,97,202,0.324415,0.824561,0.659649,0.824561,0.340351,0.732943,0.540797,1.524715,0.000001
