@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
141,220,8,166,133,0.555184,0.964912,0.569948,0.964912,0.430052,0.716612,0.732448,1.31738,0.003884
142,220,8,165,134,0.551839,0.964912,0.571429,0.964912,0.428571,0.717781,0.73055,1.320802,0.004056
143,220,8,164,135,0.548495,0.964912,0.572917,0.964912,0.427083,0.718954,0.728653,1.324242,0.004087
144,219,9,164,135,0.548495,0.960526,0.571802,0.960526,0.428198,0.716858,0.726755,1.321664,0.004097
145,219,9,163,136,0.545151,0.960526,0.573298,0.960526,0.426702,0.718033,0.724858,1.325124,0.004144
146,219,9,162,137,0.541806,0.960526,0.574803,0.960526,0.425197,0.719212,0.72296,1.328602,0.004279
147,219,9,161,138,0.538462,0.960526,0.576316,0.960526,0.423684,0.720395,0.721063,1.332098,0.004347
148,219,9,160,139,0.535117,0.960526,0.577836,0.960526,0.422164,0.721582,0.719165,1.335613,0.004475
149,219,9,159,140,0.531773,0.960526,0.579365,0.960526,0.420635,0.722772,0.717268,1.339146,0.004521
150,219,9,158,141,0.528428,0.960526,0.580902,0.960526,0.419098,0.723967,0.71537,1.342699,0.004545
151,219,9,157,142,0.525084,0.960526,0.582447,0.960526,0.417553,0.725166,0.713472,1.34627,0.004563
152,219,9,156,143,0.521739,0.960526,0.584,0.960526,0.416,0.726368,0.711575,1.34986,0.00469
153,219,9,155,144,0.518395,0.960526,0.585561,0.960526,0.414439,0.727575,0.709677,1.353469,0.004724
154,219,9,154,145,0.51505,0.960526,0.587131,0.960526,0.412869,0.728785,0.70778,1.357098,0.004778
155,219,9,153,146,0.511706,0.960526,0.58871,0.960526,0.41129,0.73,0.705882,1.360746,0.004783
156,219,9,152,147,0.508361,0.960526,0.590296,0.960526,0.409704,0.731219,0.703985,1.364413,0.004785
157,219,9,151,148,0.505017,0.960526,0.591892,0.960526,0.408108,0.732441,0.702087,1.368101,0.004791
158,219,9,150,149,0.501672,0.960526,0.593496,0.960526,0.406504,0.733668,0.70019,1.371809,0.004797
159,219,9,149,150,0.498328,0.960526,0.595109,0.960526,0.404891,0.734899,0.698292,1.375536,0.004862
160,219,9,148,151,0.494983,0.960526,0.59673,0.960526,0.40327,0.736134,0.696395,1.379284,0.004901
161,219,9,147,152,0.491639,0.960526,0.598361,0.960526,0.401639,0.737374,0.694497,1.383053,0.004903
162,219,9,146,153,0.488294,0.960526,0.6,0.960526,0.4,0.738617,0.6926,1.386842,0.004941
163,218,10,146,153,0.488294,0.95614,0.598901,0.95614,0.401099,0.736486,0.690702,1.384302,0.004961
164,218,10,145,154,0.48495,0.95614,0.600551,0.95614,0.399449,0.737733,0.688805,1.388116,0.005028
165,217,11,145,154,0.48495,0.951754,0.599448,0.951754,0.400552,0.735593,0.686907,1.385565,0.005163
166,217,11,144,155,0.481605,0.951754,0.601108,0.951754,0.398892,0.736842,0.685009,1.389403,0.005191
167,217,11,143,156,0.478261,0.951754,0.602778,0.951754,0.397222,0.738095,0.683112,1.393263,0.005209
168,217,11,142,157,0.474916,0.951754,0.604457,0.951754,0.395543,0.739353,0.681214,1.397144,0.005216
169,217,11,141,158,0.471572,0.951754,0.606145,0.951754,0.393855,0.740614,0.679317,1.401046,0.005221
170,217,11,140,159,0.468227,0.951754,0.607843,0.951754,0.392157,0.74188,0.677419,1.404971,0.005226
171,217,11,139,160,0.464883,0.951754,0.609551,0.951754,0.390449,0.743151,0.675522,1.408917,0.005355
172,217,11,138,161,0.461538,0.951754,0.611268,0.951754,0.388732,0.744425,0.673624,1.412886,0.005393
173,217,11,137,162,0.458194,0.951754,0.612994,0.951754,0.387006,0.745704,0.671727,1.416877,0.00565
