@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
149,47,75,4,118,0.032787,0.385246,0.921569,0.385246,0.078431,0.543353,0.209016,1.843137,0.928795
150,46,76,4,118,0.032787,0.377049,0.92,0.377049,0.08,0.534884,0.204918,1.84,0.930198
151,45,77,4,118,0.032787,0.368852,0.918367,0.368852,0.081633,0.526316,0.20082,1.836735,0.930464
152,44,78,4,118,0.032787,0.360656,0.916667,0.360656,0.083333,0.517647,0.196721,1.833333,0.931152
153,43,79,4,118,0.032787,0.352459,0.914894,0.352459,0.085106,0.508876,0.192623,1.829787,0.937907
154,42,80,4,118,0.032787,0.344262,0.913043,0.344262,0.086957,0.5,0.188525,1.826087,0.941493
155,41,81,4,118,0.032787,0.336066,0.911111,0.336066,0.088889,0.491018,0.184426,1.822222,0.942649
156,40,82,4,118,0.032787,0.327869,0.909091,0.327869,0.090909,0.481928,0.180328,1.818182,0.94409
157,40,82,3,119,0.02459,0.327869,0.930233,0.327869,0.069767,0.484848,0.17623,1.860465,0.944823
158,39,83,3,119,0.02459,0.319672,0.928571,0.319672,0.071429,0.47561,0.172131,1.857143,0.945227
159,38,84,3,119,0.02459,0.311475,0.926829,0.311475,0.073171,0.466258,0.168033,1.853659,0.945483
160,37,85,3,119,0.02459,0.303279,0.925,0.303279,0.075,0.45679,0.163934,1.85,0.948005
161,36,86,3,119,0.02459,0.295082,0.923077,0.295082,0.076923,0.447205,0.159836,1.846154,0.949408
162,35,87,3,119,0.02459,0.286885,0.921053,0.286885,0.078947,0.4375,0.155738,1.842105,0.950012
163,34,88,3,119,0.02459,0.278689,0.918919,0.278689,0.081081,0.427673,0.151639,1.837838,0.951426
164,33,89,3,119,0.02459,0.270492,0.916667,0.270492,0.083333,0.417722,0.147541,1.833333,0.953158
165,32,90,3,119,0.02459,0.262295,0.914286,0.262295,0.085714,0.407643,0.143443,1.828571,0.953865
166,31,91,3,119,0.02459,0.254098,0.911765,0.254098,0.088235,0.397436,0.139344,1.823529,0.954876
167,30,92,3,119,0.02459,0.245902,0.909091,0.245902,0.090909,0.387097,0.135246,1.818182,0.959131
168,29,93,3,119,0.02459,0.237705,0.90625,0.237705,0.09375,0.376623,0.131148,1.8125,0.963056
169,28,94,3,119,0.02459,0.229508,0.903226,0.229508,0.096774,0.366013,0.127049,1.806452,0.965592
170,27,95,3,119,0.02459,0.221311,0.9,0.221311,0.1,0.355263,0.122951,1.8,0.974816
171,26,96,3,119,0.02459,0.213115,0.896552,0.213115,0.103448,0.344371,0.118852,1.793103,0.977055
172,25,97,3,119,0.02459,0.204918,0.892857,0.204918,0.107143,0.333333,0.114754,1.785714,0.977752
173,24,98,3,119,0.02459,0.196721,0.888889,0.196721,0.111111,0.322148,0.110656,1.777778,0.978399
174,23,99,3,119,0.02459,0.188525,0.884615,0.188525,0.115385,0.310811,0.106557,1.769231,0.978871
175,22,100,3,119,0.02459,0.180328,0.88,0.180328,0.12,0.29932,0.102459,1.76,0.980204
176,21,101,3,119,0.02459,0.172131,0.875,0.172131,0.125,0.287671,0.098361,1.75,0.981934
177,20,102,3,119,0.02459,0.163934,0.869565,0.163934,0.130435,0.275862,0.094262,1.73913,0.985925
178,19,103,3,119,0.02459,0.155738,0.863636,0.155738,0.136364,0.263889,0.090164,1.727273,0.989568
179,19,103,2,120,0.016393,0.155738,0.904762,0.155738,0.095238,0.265734,0.086066,1.809524,0.992719
180,18,104,2,120,0.016393,0.147541,0.9,0.147541,0.1,0.253521,0.081967,1.8,0.993529
181,17,105,2,120,0.016393,0.139344,0.894737,0.139344,0.105263,0.241135,0.077869,1.789474,0.995572
182,17,105,1,121,0.008197,0.139344,0.944444,0.139344,0.055556,0.242857,0.07377,1.888889,0.996704
183,16,106,1,121,0.008197,0.131148,0.941176,0.131148,0.058824,0.230216,0.069672,1.882353,0.996713
184,15,107,1,121,0.008197,0.122951,0.9375,0.122951,0.0625,0.217391,0.065574,1.875,0.997034
185,14,108,1,121,0.008197,0.114754,0.933333,0.114754,0.066667,0.20438,0.061475,1.866667,0.998573
186,13,109,1,121,0.008197,0.106557,0.928571,0.106557,0.071429,0.191176,0.057377,1.857143,0.998729
187,12,110,1,121,0.008197,0.098361,0.923077,0.098361,0.076923,0.177778,0.053279,1.846154,0.998807
188,11,111,1,121,0.008197,0.090164,0.916667,0.090164,0.083333,0.164179,0.04918,1.833333,0.999349
189,10,112,1,121,0.008197,0.081967,0.909091,0.081967,0.090909,0.150376,0.045082,1.818182,0.999406
190,9,113,1,121,0.008197,0.07377,0.9,0.07377,0.1,0.136364,0.040984,1.8,0.999708
191,8,114,1,121,0.008197,0.065574,0.888889,0.065574,0.111111,0.122137,0.036885,1.777778,0.999733
192,7,115,1,121,0.008197,0.057377,0.875,0.057377,0.125,0.107692,0.032787,1.75,0.999736
193,6,116,1,121,0.008197,0.04918,0.857143,0.04918,0.142857,0.093023,0.028689,1.714286,0.999819
194,5,117,1,121,0.008197,0.040984,0.833333,0.040984,0.166667,0.078125,0.02459,1.666667,0.999853
195,4,118,1,121,0.008197,0.032787,0.8,0.032787,0.2,0.062992,0.020492,1.6,0.999936
196,3,119,1,121,0.008197,0.02459,0.75,0.02459,0.25,0.047619,0.016393,1.5,0.999948
197,3,119,0,122,0,0.02459,1,0.02459,0,0.048,0.012295,2,0.999985
198,2,120,0,122,0,0.016393,1,0.016393,0,0.032258,0.008197,2,1
199,1,121,0,122,0,0.008197,1,0.008197,0,0.01626,0.004098,?,1
